Metaprotein,mp_id,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,UniRef50,KEGG-Number
11S2_SESIN 11S globulin seed storage protein 2 OS=Sesamum indicum PE=2 SV=1,1,Eukaryota,Viridiplantae,Streptophyta,unassigned,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum,UniRef50_Q9XHP0,|
11S3_HELAN 11S globulin seed storage protein G3 OS=Helianthus annuus GN=HAG3 PE=3 SV=1,2,Eukaryota,Viridiplantae,Streptophyta,unassigned,Asterales,Asteraceae,Helianthus,Helianthus annuus,UniRef50_P19084,|
11SB_CUCMA 11S globulin subunit beta OS=Cucurbita maxima PE=1 SV=1,3,Eukaryota,Viridiplantae,Streptophyta,unassigned,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita maxima,UniRef50_P13744,|
12S_PROFR Methylmalonyl-CoA carboxyltransferase 12S subunit OS=Propionibacterium freudenreichii subsp. shermanii PE=1 SV=3,4,Bacteria,unassigned,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,UniRef50_Q8GBW6,|
1433_CHLRE 14-3-3-like protein OS=Chlamydomonas reinhardtii PE=2 SV=1,5,Eukaryota,Viridiplantae,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadaceae,Chlamydomonas,Chlamydomonas reinhardtii,UniRef50_Q9S9Z8,K06630|
14339_SOLLC 14-3-3 protein 9 OS=Solanum lycopersicum GN=TFT9 PE=2 SV=2,6,Eukaryota,Viridiplantae,Streptophyta,unassigned,Solanales,Solanaceae,Solanum,Solanum lycopersicum,UniRef50_P29310,K06630|
1433C_SOYBN 14-3-3-like protein C OS=Glycine max GN=GF14C PE=2 SV=1,7,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Glycine,Glycine max,UniRef50_Q96452,|
1433D_SOYBN 14-3-3-like protein D OS=Glycine max GN=GF14D PE=2 SV=1,8,Eukaryota,Viridiplantae,Streptophyta,unassigned,Fabales,Fabaceae,Glycine,Glycine max,UniRef50_P61981,K06630|
1433Z_SHEEP 14-3-3 protein zeta/delta OS=Ovis aries GN=YWHAZ PE=1 SV=1,9,Eukaryota,Metazoa,Chordata,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P63104,|K16197|
2SS1_BRANA Napin-1 (Fragment) OS=Brassica napus PE=2 SV=1,10,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,unassigned,unassigned,UniRef50_P38057,|
2SS1_SESIN 2S seed storage protein 1 OS=Sesamum indicum PE=2 SV=1,11,Eukaryota,Viridiplantae,Streptophyta,unassigned,Lamiales,Pedaliaceae,Sesamum,Sesamum indicum,UniRef50_Q9XHP1,|
2SS4_BRANA Napin OS=Brassica napus GN=NAP1 PE=2 SV=1,12,Eukaryota,Viridiplantae,Streptophyta,unassigned,Brassicales,Brassicaceae,Brassica,Brassica napus,UniRef50_P09893,|
IGHA1_HUMAN Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1 PE=1 SV=2,13,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P01876,|
6FEH_BETVU Fructan 6-exohydrolase OS=Beta vulgaris GN=6-FEH PE=1 SV=1,14,Eukaryota,Viridiplantae,Streptophyta,unassigned,Caryophyllales,Amaranthaceae,Beta,Beta vulgaris,UniRef50_Q8W4S6,K20849|
"6PGD_CHLMU 6-phosphogluconate dehydrogenase, decarboxylating OS=Chlamydia muridarum (strain MoPn / Nigg) GN=gnd PE=3 SV=1",15,Bacteria,unassigned,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,Chlamydia muridarum,UniRef50_P12013,K00033|
"6PGD_HAEIN 6-phosphogluconate dehydrogenase, decarboxylating OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=gnd PE=3 SV=1",16,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,UniRef50_P38720,K00033|
"6PGD_KLEPN 6-phosphogluconate dehydrogenase, decarboxylating OS=Klebsiella pneumoniae GN=gnd PE=3 SV=2",17,Bacteria,unassigned,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,UniRef50_P00350,|
"6PGD_SHEEP 6-phosphogluconate dehydrogenase, decarboxylating OS=Ovis aries GN=PGD PE=1 SV=4",18,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P52209,K00033|
IGKC_HUMAN Ig kappa chain C region OS=Homo sapiens GN=IGKC PE=1 SV=1,19,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P01834,|
A1AT_CHLAE Alpha-1-antitrypsin (Fragment) OS=Chlorocebus aethiops GN=SERPINA1 PE=2 SV=1,20,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus aethiops,UniRef50_O00394,|
A1AT2_HORSE Alpha-1-antiproteinase 2 OS=Equus caballus PE=1 SV=2,21,Eukaryota,Metazoa,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned,UniRef50_P01009,|
A1AT6_MOUSE Alpha-1-antitrypsin 1-6 OS=Mus musculus GN=Serpina1f PE=2 SV=1,22,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_Q9DCQ7,|
CEL2A_HUMAN Chymotrypsin-like elastase family member 2A OS=Homo sapiens GN=CELA2A PE=1 SV=1,23,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_P08217,K01346|
A2AP_MOUSE Alpha-2-antiplasmin OS=Mus musculus GN=Serpinf2 PE=1 SV=1,24,Eukaryota,Metazoa,Chordata,Mammalia,Rodentia,Muridae,Mus,Mus musculus,UniRef50_P08697,K03983|
CTRC_HUMAN Chymotrypsin-C OS=Homo sapiens GN=CTRC PE=1 SV=2,25,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,UniRef50_Q99895,K01311|
